Rank,State or union territory,Max. Temp
1,Uttar Pradesh,49
2,Maharashtra,46.6
3,Bihar,48
4,West Bengal,46
5,Madhya Pradesh,47
6,Tamil Nadu,43
7,Rajasthan,50.5
8,Karnataka,42
9,Gujarat,48
10,Andhra Pradesh,44
11,Odisha,45
12,Telangana,44.5
13,Kerala,39
14,Jharkhand,45
15,Assam,38
16,Punjab,47.4
17,Chhattisgarh,46
18,Haryana,47
19,Uttarakhand,41
20,Himachal Pradesh,30.6
21,Tripura,39
22,Meghalaya,31
23,Manipur,33
24,Nagaland,35
25,Goa,36
26,Arunanchal Pradesh,35
27,Mizoram,33
28,Sikkim,30
,NCT of Delhi,52.9
,Jammu & Kashmir,38
,Puducherry,40
,Chandigarh,46
,Dadara & Nagar Havelli,42
,Daman & Diu,40
,Andaman & Nicobar Island,34
,Lakshadweep,33
